VehicleId,X,Y
ST3,1486852.85566947,749910.220516399
GA3,1484551.68605922,747775.032529563
GA3,1480771.24972247,756324.691611305
GA3,1481056.08150189,756612.250747472
GA3,1486995.24219573,760094.968519554
GA1,1487882.22237714,743706.939943984
ST3,1490999.80111572,746440.962363064
ST3,1491373.74164081,745186.884490639
GA3,1481098.9058913,756583.265569225
GA1,1480984.8273793,756423.301650316
ST3,1486787.16518405,750000.278079063
ST3,1480991.86771956,756170.536735892
ST3,1488184.53312422,748861.982455388
ST3,1480646.33494605,753548.696507141
GA3,1481113.94457513,756610.150686055
ST3,1481117.09909639,756565.182600141
GA3,1485575.05934055,746887.256746054
ST3,1491337.74171281,745136.141481891
GA1,1481090.99547406,756609.554886729
ST3,1499921.50997831,734078.251852304
GA1,1480993.47959296,756457.736948892
ST3,1486770.80957372,750292.797179058
GA3,1480962.42650548,756462.981360972
ST3,1486817.31932323,749928.289705977
ST3,1481104.24019822,756571.721957147
GA3,1481113.94457513,756610.150686055
GA3,1487615.14843622,749004.959859729
ST3,1490638.60892472,746547.328620151
ST3,1486845.21067163,749890.611959815
GA3,1478943.0913053,752919.069157481
ST3,1487591.93719655,745501.267392054
GA1,1486990.60211314,760131.292593896
ST3,1486858.1404358,750177.040848896
GA3,1492757.13191864,754745.577971637
ST3,1481089.59062122,756587.040167972
GA3,1486999.34258123,760111.857265309
ST96,1481042.71768346,756615.599494055
GA3,1486981.21171197,760116.647938147
ST3,1489455.89147389,748660.761729226
GA3,1478851.08099064,753990.198576897
GA1,1487055.02357222,760183.182581976
GA1,1480915.99024664,756294.856697232
ST3,1480991.86771956,756170.536735892
ST96,1479405.06511889,739168.069428563
