		Vehicle	Year	Month	Day					Start Time	Strop Time	Start Odometer	Stop Odometer	Trip Time (s)	Trip Time (hh:mm:ss)	Trip Miles	Stop Time(s)	Stop Time (hh:mm:ss)	Shape
3925	4929	GA1	2014	11	6	10:14.0	37:10.0	10:14.0	37:10.0	10:10AM	11:37AM	20.74757769	32.00744158	5216	1:26:56	11.25986389	121	0:02:01	0x970E0000010C40B5ED380AB43641805640E135B22641
4945	5483	GA1	2014	11	6	39:11.0	24:56.0	39:11.0	24:56.0	11:39AM	12:24PM	32.06150086	40.81661825	2745	0:45:45	8.75511739	65601	18:13:21	0x970E0000010CC0CD80FDD39836410005A1B68D142741
6425	10032	GA1	2014	11	7	38:17.0	25:21.0	38:17.0	25:21.0	6:38AM	11:25AM	40.73956824	77.21342457	17224	4:47:04	36.47385633	241960	67:12:40	0x970E0000010CC09AC67A21993641805D5179D3152741
10052	13606	GA1	2014	11	10	38:01.0	17:35.0	38:01.0	17:35.0	6:38AM	11:17AM	77.20907498	111.511861	16774	4:39:34	34.30278605	69913	19:25:13	0x970E0000010C4021CFD31899364100E9719A8E152741
13652	15879	GA1	2014	11	11	42:48.0	13:27.0	42:48.0	13:27.0	6:42AM	10:13AM	111.511861	128.161497	12639	3:30:39	16.64963595	4133	1:08:53	0x970E0000010C4016249A8EB0364100DECE9586322741
16022	16024	GA1	2014	11	11	22:20.0	22:49.0	22:20.0	22:49.0	11:22AM	11:22AM	138.5800245	138.6141999	29	0:00:29	0.03417541	69225	19:13:45	0x970E0000010C40199EEEF9983641007D8527C1152741
16048	21207	GA1	2014	11	12	36:34.0	36:06.0	36:34.0	36:06.0	6:36AM	12:36PM	138.6141999	168.748208	21572	5:59:32	30.13400801	64755	17:59:15	0x970E0000010C4063D7FE82993641001D1A1C03172741
2492	2662	GA3	2014	11	6	25:24.0	36:56.0	25:24.0	36:56.0	8:25AM	8:36AM	6.87981971	7.23648667	692	0:11:32	0.35666696	121	0:02:01	0x970E0000010C40F1300F07AB3641003874830ECB2641
2688	3762	GA3	2014	11	6	38:57.0	53:18.0	38:57.0	53:18.0	8:38AM	9:53AM	7.43035442	15.0328286	4461	1:14:21	7.60247418	210	0:03:30	0x970E0000010C80C1323685B03641808CBE4B69322741
3798	5521	GA3	2014	11	6	56:48.0	29:32.0	56:48.0	29:32.0	9:56AM	12:29PM	15.0328286	31.48238309	9164	2:32:44	16.44955449	121	0:02:01	0x970E0000010C008A003E93B0364180CBE1EF3D322741
5533	5723	GA3	2014	11	6	31:33.0	59:41.0	31:33.0	59:41.0	12:31PM	12:59PM	31.54389882	41.708907	1688	0:28:08	10.16500818	362	0:06:02	0x970E0000010C00ADCFF19999364100B9264D04172741
5760	5764	GA3	2014	11	6	05:43.0	06:14.0	05:43.0	06:14.0	1:05PM	1:06PM	41.708907	41.708907	31	0:00:31	0	63118	17:31:58	0x970E0000010C00ADCFF19999364100B9264D04172741
6423	6913	GA3	2014	11	7	38:12.0	42:02.0	38:12.0	42:02.0	6:38AM	7:42AM	41.708907	46.78861493	3830	1:03:50	5.07970793	525	0:08:45	0x970E0000010CC0C85F171F913641009C68232EFA2641
6951	7375	GA3	2014	11	7	50:47.0	27:59.0	50:47.0	27:59.0	7:50AM	8:27AM	46.78861493	47.88222789	2232	0:37:12	1.09361296	61	0:01:01	0x970E0000010C80CDBB14C390364100DFAB658C022741
7385	9079	GA3	2014	11	7	29:00.0	59:17.0	29:00.0	59:17.0	8:29AM	10:59AM	47.94933596	61.1621689	9017	2:30:17	13.21283294	121	0:02:01	0x970E0000010C4067B35797B03641807AEBB65F322741
9099	9244	GA3	2014	11	7	01:18.0	14:23.0	01:18.0	14:23.0	11:01AM	11:14AM	61.1621689	65.31603404	785	0:13:05	4.15386514	242061	67:14:21	0x970E0000010CC04EDD146099364100F9618008172741
10007	10165	GA3	2014	11	10	28:44.0	52:22.0	28:44.0	52:22.0	6:28AM	6:52AM	65.25824653	65.25824653	1418	0:23:38	0	543	0:09:03	0x970E0000010CC0CFED3F4398364180E01A62C9142741
10204	10553	GA3	2014	11	10	01:25.0	40:37.0	01:25.0	40:37.0	7:01AM	7:40AM	65.25824653	66.90115146	2352	0:39:12	1.64290493	122	0:02:02	0x970E0000010C80EAFF25FFB2364100BC72EB99DB2641
